Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,MD,Maryland,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),25.8,,,19.3,33.5,39448,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),18.8,,,15.1,23,109857,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),22.4,,,12.5,36.8,37243,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),24.1,,,17.6,32,94993,,,
2018,MA,Massachusetts,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),14.6,,,8.7,23.6,28769,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),25.2,,,22.2,28.5,252279,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),23.2,,,16.9,31.1,76267,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),24.3,,,19.8,29.5,226171,,,
2018,MI,Michigan,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),26,,,20,33,84862,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),24.6,,,21.8,27.7,91135,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),21.4,,,16.3,27.6,36171,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),23.5,,,19.4,28.2,66093,,,
2018,MN,Minnesota,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),30.4,,,25,36.5,33919,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),38.2,,,33.7,42.8,130909,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),32.2,,,24.3,41.3,48290,,,
