NAME,B19013_001E,state,county
"Torrance County, New Mexico",37218.0,35,057
"Otero County, New Mexico",42752.0,35,035
"Cibola County, New Mexico",37368.0,35,006
"Guadalupe County, New Mexico",24085.0,35,019
"Catron County, New Mexico",42480.0,35,003
"Grant County, New Mexico",37880.0,35,017
"Luna County, New Mexico",27377.0,35,029
"McKinley County, New Mexico",31674.0,35,031
"Taos County, New Mexico",36758.0,35,055
"Colfax County, New Mexico",33783.0,35,007
"Eddy County, New Mexico",62982.0,35,015
"Mora County, New Mexico",26968.0,35,033
"Quay County, New Mexico",27075.0,35,037
"Lincoln County, New Mexico",42267.0,35,027
"Lea County, New Mexico",59797.0,35,025
"Santa Fe County, New Mexico",59192.0,35,049
"Sierra County, New Mexico",30451.0,35,051
"Socorro County, New Mexico",36146.0,35,053
"Do�a Ana County, New Mexico",39164.0,35,013
"Schoharie County, New York",53989.0,36,095
"Onondaga County, New York",59225.0,36,067
"Clinton County, New York",55178.0,36,019
"Seneca County, New York",54695.0,36,099
"Putnam County, New York",102186.0,36,079
"Franklin County, New York",51696.0,36,033
"Ontario County, New York",63359.0,36,069
"Queens County, New York",64987.0,36,081
"Steuben County, New York",51789.0,36,101
"Hamilton County, New York",57552.0,36,041
"Washington County, New York",54114.0,36,115
"Chautauqua County, New York",45332.0,36,013
"Kings County, New York",56015.0,36,047
"New York County, New York",82459.0,36,061
"Tioga County, New York",60736.0,36,107
"Cayuga County, New York",56579.0,36,011
"Orleans County, New York",51843.0,36,073
"Saratoga County, New York",80839.0,36,091
"Rockland County, New York",91108.0,36,087
"Columbia County, New York",63032.0,36,021
"Lewis County, New York",52380.0,36,049
"Niagara County, New York",54085.0,36,063
"Westchester County, New York",92758.0,36,119
"Delaware County, New York",48827.0,36,025
"Essex County, New York",56196.0,36,031
"Montgomery County, New York",45837.0,36,057
"Nassau County, New York",111240.0,36,059
"Richmond County, New York",79267.0,36,085
"Schuyler County, New York",51479.0,36,097
"Tompkins County, New York",58743.0,36,109
"Chenango County, New York",50595.0,36,017
"Cortland County, New York",54489.0,36,023
"Jefferson County, New York",52268.0,36,045
"Oneida County, New York",53844.0,36,065
"Suffolk County, New York",96675.0,36,103
"Wyoming County, New York",57914.0,36,121
"Chemung County, New York",53299.0,36,015
"Oswego County, New York",53597.0,36,075
"Otsego County, New York",53121.0,36,077
"Wayne County, New York",55765.0,36,117
"Albany County, New York",64535.0,36,001
"Broome County, New York",50859.0,36,007
"Erie County, New York",55673.0,36,029
"Madison County, New York",60228.0,36,053
"Sullivan County, New York",56256.0,36,105
"Mitchell County, North Carolina",44186.0,37,121
"Genesee County, New York",59338.0,36,037
"Orange County, New York",76716.0,36,071
"Greene County, North Carolina",38306.0,37,079
"Chowan County, North Carolina",42621.0,37,041
"Caldwell County, North Carolina",42072.0,37,027
"Catawba County, North Carolina",51157.0,37,035
"Craven County, North Carolina",50870.0,37,049
"Edgecombe County, North Carolina",35516.0,37,065
"Harnett County, North Carolina",51630.0,37,085
"Henderson County, North Carolina",52815.0,37,089
"Hyde County, North Carolina",45466.0,37,095
"Mecklenburg County, North Carolina",64312.0,37,119
"Northampton County, North Carolina",35499.0,37,131
"Rowan County, North Carolina",48667.0,37,159
"Vance County, North Carolina",37282.0,37,181
"Currituck County, North Carolina",66284.0,37,053
"Union County, North Carolina",75397.0,37,179
"Forsyth County, North Carolina",50128.0,37,067
"Nash County, North Carolina",48362.0,37,127
"Bladen County, North Carolina",32378.0,37,017
"Dare County, North Carolina",58012.0,37,055
"Warren County, North Carolina",35962.0,37,185
"Wilson County, North Carolina",42850.0,37,195
"Bertie County, North Carolina",33143.0,37,015
"Gates County, North Carolina",52205.0,37,073
"Graham County, North Carolina",36525.0,37,075
"Martin County, North Carolina",39205.0,37,117
"Madison County, North Carolina",42410.0,37,115
"Pamlico County, North Carolina",44947.0,37,137
"Perquimans County, North Carolina",45915.0,37,143
"Polk County, North Carolina",48834.0,37,149
"Randolph County, North Carolina",45006.0,37,151
"Rockingham County, North Carolina",42490.0,37,157
"Stokes County, North Carolina",46169.0,37,169
"Washington County, North Carolina",35512.0,37,187
"Camden County, North Carolina",63349.0,37,029
"Clay County, North Carolina",38801.0,37,043
"Cumberland County, North Carolina",45716.0,37,051
"Gaston County, North Carolina",49384.0,37,071
"Guilford County, North Carolina",51072.0,37,081
"Jackson County, North Carolina",44028.0,37,099
"Moore County, North Carolina",57899.0,37,125
"Robeson County, North Carolina",33679.0,37,155
"Stanly County, North Carolina",49590.0,37,167
"Wake County, North Carolina",76956.0,37,183
"Yancey County, North Carolina",39888.0,37,199
"Chatham County, North Carolina",63531.0,37,037
"McDowell County, North Carolina",40913.0,37,111
"Johnston County, North Carolina",56842.0,37,101
"Jones County, North Carolina",36892.0,37,103
"Person County, North Carolina",48811.0,37,145
"Brunswick County, North Carolina",54406.0,37,019
"Ashe County, North Carolina",40978.0,37,009
"Beaufort County, North Carolina",43688.0,37,013
"Lenoir County, North Carolina",38387.0,37,107
"Rutherford County, North Carolina",40347.0,37,161
"Lincoln County, North Carolina",53318.0,37,109
"Onslow County, North Carolina",49491.0,37,133
"Orange County, North Carolina",68211.0,37,135
"Sampson County, North Carolina",39068.0,37,163
"Yadkin County, North Carolina",42876.0,37,197
"Avery County, North Carolina",38134.0,37,011
"Burke County, North Carolina",42516.0,37,023
"Caswell County, North Carolina",43961.0,37,033
"Davie County, North Carolina",57611.0,37,059
"Duplin County, North Carolina",38850.0,37,061
"Durham County, North Carolina",58190.0,37,063
"Lee County, North Carolina",48873.0,37,105
"New Hanover County, North Carolina",52716.0,37,129
"Wayne County, North Carolina",42192.0,37,191
"Scotland County, North Carolina",35617.0,37,165
"Halifax County, North Carolina",34251.0,37,083
"Alamance County, North Carolina",45735.0,37,001
"Burke County, North Dakota",74931.0,38,013
"Mountrail County, North Dakota",70678.0,38,061
"Williams County, North Dakota",86575.0,38,105
"Billings County, North Dakota",92604.0,38,007
"Kidder County, North Dakota",57734.0,38,043
"Cavalier County, North Dakota",67591.0,38,019
"Grant County, North Dakota",50962.0,38,037
"Pembina County, North Dakota",64962.0,38,067
"Steele County, North Dakota",65848.0,38,091
"Hettinger County, North Dakota",56761.0,38,041
"LaMoure County, North Dakota",59426.0,38,045
"Morton County, North Dakota",67584.0,38,059
"Cass County, North Dakota",62031.0,38,017
"Dunn County, North Dakota",70500.0,38,025
"Emmons County, North Dakota",51029.0,38,029
"McIntosh County, North Dakota",50739.0,38,051
"Nelson County, North Dakota",48798.0,38,063
"Richland County, North Dakota",61990.0,38,077
"Rolette County, North Dakota",39884.0,38,079
"Walsh County, North Dakota",54414.0,38,099
"Adams County, North Dakota",54875.0,38,001
"Bottineau County, North Dakota",59882.0,38,009
"Barnes County, North Dakota",57064.0,38,003
"Eddy County, North Dakota",51563.0,38,027
"Grand Forks County, North Dakota",51951.0,38,035
"McKenzie County, North Dakota",80732.0,38,053
"Mercer County, North Dakota",79890.0,38,057
"McLean County, North Dakota",65648.0,38,055
"Pierce County, North Dakota",48802.0,38,069
"Ransom County, North Dakota",61810.0,38,073
"Sioux County, North Dakota",40862.0,38,085
"Bowman County, North Dakota",65063.0,38,011
"Golden Valley County, North Dakota",56087.0,38,033
"Logan County, North Dakota",58144.0,38,047
"Towner County, North Dakota",53696.0,38,095
"Stutsman County, North Dakota",57642.0,38,093
"Divide County, North Dakota",60074.0,38,023
"Foster County, North Dakota",60613.0,38,031
"Sargent County, North Dakota",67200.0,38,081
"Slope County, North Dakota",63942.0,38,087
"Stark County, North Dakota",75708.0,38,089
"Gallia County, Ohio",42113.0,39,053
"Huron County, Ohio",51559.0,39,077
"Athens County, Ohio",37778.0,39,009
"Adams County, Ohio",36894.0,39,001
"Medina County, Ohio",74243.0,39,103
"Union County, Ohio",82775.0,39,159
"Champaign County, Ohio",57103.0,39,021
"Paulding County, Ohio",51933.0,39,125
"Greene County, Ohio",67109.0,39,057
"Franklin County, Ohio",58762.0,39,049
"Marion County, Ohio",45464.0,39,101
"Morgan County, Ohio",41731.0,39,115
"Wayne County, Ohio",56348.0,39,169
"Wyandot County, Ohio",52940.0,39,175
"Butler County, Ohio",63358.0,39,017
"Harrison County, Ohio",48462.0,39,067
"Knox County, Ohio",55131.0,39,083
"Richland County, Ohio",47346.0,39,139
"Vinton County, Ohio",42114.0,39,163
"Hancock County, Ohio",55644.0,39,063
"Fairfield County, Ohio",66175.0,39,045
"Defiance County, Ohio",57665.0,39,039
"Henry County, Ohio",59083.0,39,069
"Jefferson County, Ohio",44819.0,39,081
"Putnam County, Ohio",62001.0,39,137
"Clinton County, Ohio",51354.0,39,027
"Fayette County, Ohio",46478.0,39,047
"Pickaway County, Ohio",62214.0,39,129
"Logan County, Ohio",55150.0,39,091
"Summit County, Ohio",55448.0,39,153
"Sandusky County, Ohio",51701.0,39,143
"Shelby County, Ohio",61042.0,39,149
"Cottonwood County, Minnesota",53354.0,27,033
"Scott County, Minnesota",97744.0,27,139
"Dodge County, Minnesota",71669.0,27,039
"Wabasha County, Minnesota",65138.0,27,157
"Pipestone County, Minnesota",52309.0,27,117
"Crow Wing County, Minnesota",54508.0,27,035
"Norman County, Minnesota",55206.0,27,107
"Wright County, Minnesota",81881.0,27,171
"Nicollet County, Minnesota",65027.0,27,103
"Douglas County, Minnesota",60676.0,27,041
"Grant County, Minnesota",55912.0,27,051
"Kittson County, Minnesota",57112.0,27,069
"Le Sueur County, Minnesota",67451.0,27,079
"Mahnomen County, Minnesota",44537.0,27,087
"Chisago County, Minnesota",80409.0,27,025
"Redwood County, Minnesota",53230.0,27,127
"Yellow Medicine County, Minnesota",56943.0,27,173
"Todd County, Minnesota",52872.0,27,153
"Beltrami County, Minnesota",47410.0,27,007
"Blue Earth County, Minnesota",55861.0,27,013
"Houston County, Minnesota",58729.0,27,055
"Lac qui Parle County, Minnesota",52199.0,27,073
"Lake of the Woods County, Minnesota",49068.0,27,077
"Otter Tail County, Minnesota",57131.0,27,111
"Waseca County, Minnesota",55612.0,27,161
"St. Louis County, Minnesota",53344.0,27,137
"Anoka County, Minnesota",79923.0,27,003
"Stearns County, Minnesota",60606.0,27,145
"Lincoln County, Minnesota",52301.0,27,081
"Marshall County, Minnesota",58723.0,27,089
"Mille Lacs County, Minnesota",53888.0,27,095
"Washington County, Minnesota",92376.0,27,163
"Carlton County, Minnesota",60390.0,27,017
"Kanabec County, Minnesota",53300.0,27,065
"Koochiching County, Minnesota",47129.0,27,071
"Red Lake County, Minnesota",56588.0,27,125
"Morrison County, Minnesota",54962.0,27,097
"Rice County, Minnesota",65758.0,27,131
"Steele County, Minnesota",62731.0,27,147
"Aitkin County, Minnesota",45989.0,27,001
"Faribault County, Minnesota",52286.0,27,043
"Murray County, Minnesota",57500.0,27,101
"Kandiyohi County, Minnesota",59089.0,27,067
"Lake County, Minnesota",59516.0,27,075
"Rock County, Minnesota",59890.0,27,133
"Sibley County, Minnesota",62761.0,27,143
"Traverse County, Minnesota",48784.0,27,155
"Becker County, Minnesota",59278.0,27,005
"Hennepin County, Minnesota",74113.0,27,053
"Brown County, Minnesota",57728.0,27,015
"Chippewa County, Minnesota",54552.0,27,023
"Clearwater County, Minnesota",46291.0,27,029
"Hubbard County, Minnesota",55472.0,27,057
"Isanti County, Minnesota",72473.0,27,059
"Martin County, Minnesota",53915.0,27,091
"Mower County, Minnesota",53665.0,27,099
"Pine County, Minnesota",49138.0,27,115
"Olmsted County, Minnesota",74880.0,27,109
"Wadena County, Minnesota",45860.0,27,159
"Benton County, Minnesota",56357.0,27,009
"Freeborn County, Minnesota",52447.0,27,047
"McLeod County, Minnesota",61275.0,27,085
"Pope County, Minnesota",58132.0,27,121
"Stevens County, Minnesota",58363.0,27,149
"Swift County, Minnesota",48577.0,27,151
"Holmes County, Mississippi",21093.0,28,051
"Amite County, Mississippi",31854.0,28,005
"Calhoun County, Mississippi",36440.0,28,013
"Tishomingo County, Mississippi",37312.0,28,141
"Wayne County, Mississippi",37970.0,28,153
"Austin County, Texas",65365.0,48,015
"Kenedy County, Texas",36125.0,48,261
"Nueces County, Texas",55048.0,48,355
"Colorado County, Texas",49504.0,48,089
"San Patricio County, Texas",55229.0,48,409
"Rains County, Texas",49872.0,48,379
"Randall County, Texas",67397.0,48,381
"Real County, Texas",34813.0,48,385
"San Saba County, Texas",44698.0,48,411
"Schleicher County, Texas",55677.0,48,413
"Sterling County, Texas",59286.0,48,431
"Zavala County, Texas",30988.0,48,507
"Calhoun County, Texas",55469.0,48,057
"Carson County, Texas",70087.0,48,065
"Foard County, Texas",46354.0,48,155
"Freestone County, Texas",48731.0,48,161
"Goliad County, Texas",60492.0,48,175
"Hamilton County, Texas",47500.0,48,193
"Hardeman County, Texas",42238.0,48,197
"Mitchell County, Texas",49670.0,48,335
"Briscoe County, Texas",42647.0,48,045
"Lavaca County, Texas",53021.0,48,285
"Terry County, Texas",44975.0,48,445
"Jeff Davis County, Texas",53194.0,48,243
"Webb County, Texas",42293.0,48,479
"Jim Hogg County, Texas",32049.0,48,247
"Montgomery County, Texas",77416.0,48,339
"Dallam County, Texas",51250.0,48,111
"Armstrong County, Texas",66563.0,48,011
"Castro County, Texas",45000.0,48,069
"Kleberg County, Texas",42021.0,48,273
"Willacy County, Texas",29944.0,48,489
"Crosby County, Texas",37899.0,48,107
"Fisher County, Texas",46827.0,48,151
"Duval County, Texas",37382.0,48,131
"Blanco County, Texas",63071.0,48,031
"Jasper County, Texas",46088.0,48,241
"Kinney County, Texas",31468.0,48,271
"Deaf Smith County, Texas",51841.0,48,117
"Galveston County, Texas",69369.0,48,167
"La Salle County, Texas",51792.0,48,283
"Roberts County, Texas",73854.0,48,393
"Tyler County, Texas",43936.0,48,457
"Wheeler County, Texas",49352.0,48,483
"Bowie County, Texas",47505.0,48,037
"Brewster County, Texas",43894.0,48,043
"Kent County, Texas",45926.0,48,263
"Smith County, Texas",53511.0,48,423
"Crockett County, Texas",51152.0,48,105
"Hardin County, Texas",59105.0,48,199
"Howard County, Texas",51528.0,48,227
"Leon County, Texas",44818.0,48,289
"Montague County, Texas",51774.0,48,337
"Panola County, Texas",51569.0,48,365
"Millard County, Utah",60445.0,49,027
"Washington County, Utah",56877.0,49,053
"Kane County, Utah",48269.0,49,025
"Grand County, Utah",48673.0,49,019
"Rich County, Utah",49886.0,49,033
"Wasatch County, Utah",77449.0,49,051
"Box Elder County, Utah",59937.0,49,003
"Iron County, Utah",46809.0,49,021
"Sevier County, Utah",53020.0,49,041
"Weber County, Utah",64636.0,49,057
"Duchesne County, Utah",63919.0,49,013
"San Juan County, Utah",44680.0,49,037
"Salt Lake County, Utah",71230.0,49,035
"Uintah County, Utah",66736.0,49,047
"Daggett County, Utah",81250.0,49,009
"Davis County, Utah",79690.0,49,011
"Wayne County, Utah",44694.0,49,055
"Carbon County, Utah",50278.0,49,007
"Emery County, Utah",52055.0,49,015
"Morgan County, Utah",89274.0,49,029
"Cache County, Utah",56840.0,49,005
"Garfield County, Utah",52337.0,49,017
"Juab County, Utah",62237.0,49,023
"Rutland County, Vermont",54973.0,50,021
"Orleans County, Vermont",47915.0,50,019
"Grand Isle County, Vermont",69583.0,50,013
"Orange County, Vermont",60159.0,50,017
