NAME,state,county,Estimate!!Total
"Camden County, New Jersey",34,007,507367.0
"Bergen County, New Jersey",34,003,929999.0
"Warren County, New Jersey",34,041,106293.0
"Hudson County, New Jersey",34,017,668631.0
"Burlington County, New Jersey",34,005,446367.0
"Morris County, New Jersey",34,027,494383.0
"Rio Arriba County, New Mexico",35,039,39307.0
"San Miguel County, New Mexico",35,047,28034.0
"Torrance County, New Mexico",35,057,15595.0
"Otero County, New Mexico",35,035,65745.0
"Cibola County, New Mexico",35,006,26978.0
"Guadalupe County, New Mexico",35,019,4382.0
"Catron County, New Mexico",35,003,3539.0
"Grant County, New Mexico",35,017,28061.0
"Luna County, New Mexico",35,029,24264.0
"McKinley County, New Mexico",35,031,72849.0
"Taos County, New Mexico",35,055,32888.0
"Colfax County, New Mexico",35,007,12353.0
"Eddy County, New Mexico",35,015,57437.0
"Mora County, New Mexico",35,033,4563.0
"Quay County, New Mexico",35,037,8373.0
"Lincoln County, New Mexico",35,027,19482.0
"Lea County, New Mexico",35,025,70126.0
"Santa Fe County, New Mexico",35,049,148917.0
"Sierra County, New Mexico",35,051,11135.0
"Socorro County, New Mexico",35,053,17000.0
"Do�a Ana County, New Mexico",35,013,215338.0
"Schoharie County, New York",36,095,31364.0
"Onondaga County, New York",36,067,464242.0
"Clinton County, New York",36,019,80794.0
"Seneca County, New York",36,099,34612.0
"Putnam County, New York",36,079,99070.0
"Franklin County, New York",36,033,50692.0
"Ontario County, New York",36,069,109472.0
"Queens County, New York",36,081,2298513.0
"Steuben County, New York",36,101,96927.0
"Hamilton County, New York",36,041,4575.0
"Washington County, New York",36,115,61828.0
"Chautauqua County, New York",36,013,129656.0
"Kings County, New York",36,047,2600747.0
"New York County, New York",36,061,1632480.0
"Tioga County, New York",36,107,49045.0
"Cayuga County, New York",36,011,77868.0
"Orleans County, New York",36,073,41175.0
"Saratoga County, New York",36,091,227377.0
"Rockland County, New York",36,087,323686.0
"Columbia County, New York",36,021,60919.0
"Lewis County, New York",36,049,26719.0
"Niagara County, New York",36,063,211704.0
"Westchester County, New York",36,119,968815.0
"Delaware County, New York",36,025,45502.0
"Essex County, New York",36,031,37751.0
"Montgomery County, New York",36,057,49426.0
"Nassau County, New York",36,059,1356564.0
"Richmond County, New York",36,085,474101.0
"Schuyler County, New York",36,097,17992.0
"Tompkins County, New York",36,109,102962.0
"Chenango County, New York",36,017,48348.0
