NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Tuscola County, Michigan",26,157,302.0,1045.0,112.0,8015.0,52085.0,936.0,754.0,4165.0,701.0,44070.0,2582.0,2505.0,23412.0,3034.0,2852.0,8908.0,777.0
"Alpena County, Michigan",26,007,110.0,503.0,113.0,4033.0,28009.0,314.0,330.0,2358.0,305.0,23976.0,1336.0,1173.0,11971.0,1776.0,1715.0,5212.0,793.0
"Ionia County, Michigan",26,067,181.0,794.0,82.0,7681.0,60176.0,866.0,728.0,4274.0,756.0,52495.0,4231.0,3565.0,28542.0,4564.0,2170.0,8586.0,837.0
"Midland County, Michigan",26,111,321.0,918.0,206.0,8847.0,82002.0,705.0,745.0,5159.0,793.0,73155.0,5293.0,4792.0,39609.0,5382.0,3990.0,12249.0,1840.0
"Berrien County, Michigan",26,021,870.0,2389.0,330.0,24848.0,150936.0,3157.0,2889.0,12964.0,2249.0,126088.0,8189.0,7785.0,64875.0,9298.0,7582.0,24846.0,3513.0
"Oscoda County, Michigan",26,135,89.0,243.0,17.0,1422.0,8212.0,163.0,98.0,709.0,103.0,6790.0,402.0,369.0,3010.0,415.0,631.0,1812.0,151.0
"Crawford County, Michigan",26,039,121.0,261.0,32.0,2098.0,13590.0,166.0,258.0,1187.0,73.0,11492.0,688.0,409.0,5530.0,810.0,991.0,2860.0,204.0
"Clinton County, Michigan",26,037,172.0,680.0,84.0,7184.0,76992.0,656.0,602.0,4536.0,454.0,69808.0,5275.0,4438.0,37701.0,5909.0,3375.0,11868.0,1242.0
"Gratiot County, Michigan",26,057,201.0,658.0,143.0,6449.0,35314.0,689.0,592.0,3692.0,474.0,28865.0,2007.0,1751.0,14845.0,2519.0,1697.0,5316.0,730.0
"Huron County, Michigan",26,063,155.0,462.0,111.0,4005.0,31078.0,454.0,488.0,2004.0,331.0,27073.0,1479.0,1406.0,13036.0,1843.0,2144.0,6369.0,796.0
"Lenawee County, Michigan",26,091,323.0,1120.0,250.0,11411.0,93387.0,1208.0,1175.0,6184.0,1151.0,81976.0,5701.0,4989.0,42851.0,6371.0,4483.0,16052.0,1529.0
"Mason County, Michigan",26,105,284.0,445.0,38.0,4299.0,28486.0,382.0,578.0,2081.0,491.0,24187.0,1553.0,1164.0,11845.0,1641.0,1790.0,5717.0,477.0
"Montcalm County, Michigan",26,117,205.0,1033.0,147.0,9957.0,60478.0,1157.0,1133.0,5231.0,1051.0,50521.0,3716.0,3057.0,26883.0,3903.0,2866.0,9107.0,989.0
"St. Joseph County, Michigan",26,149,256.0,639.0,84.0,9347.0,59822.0,1072.0,1427.0,4731.0,1138.0,50475.0,3656.0,3164.0,26443.0,4114.0,2814.0,9314.0,970.0
"St. Clair County, Michigan",26,147,585.0,2159.0,274.0,21003.0,157726.0,2542.0,1998.0,11232.0,2213.0,136723.0,8577.0,7500.0,73699.0,10653.0,7411.0,26134.0,2749.0
"Washtenaw County, Michigan",26,161,859.0,3132.0,367.0,49170.0,346217.0,2474.0,3114.0,36436.0,2788.0,297047.0,20613.0,18106.0,174450.0,21284.0,11568.0,45891.0,5135.0
"Arenac County, Michigan",26,011,61.0,429.0,26.0,2714.0,14946.0,247.0,281.0,1417.0,253.0,12232.0,662.0,502.0,5907.0,735.0,1061.0,3110.0,255.0
"Cass County, Michigan",26,027,178.0,536.0,59.0,6157.0,51001.0,681.0,606.0,3447.0,650.0,44844.0,3237.0,2370.0,22726.0,3088.0,2707.0,9903.0,813.0
"Iron County, Michigan",26,071,65.0,323.0,37.0,1527.0,10869.0,100.0,182.0,721.0,99.0,9342.0,502.0,356.0,4252.0,518.0,868.0,2485.0,361.0
"Roscommon County, Michigan",26,143,189.0,869.0,95.0,4271.0,23528.0,424.0,227.0,2069.0,398.0,19257.0,731.0,729.0,7895.0,995.0,2054.0,6315.0,538.0
"Wayne County, Michigan",26,163,8538.0,37490.0,4089.0,401149.0,1740233.0,47786.0,51208.0,207968.0,44070.0,1339084.0,88678.0,84276.0,755655.0,97625.0,63977.0,220267.0,28606.0
"Branch County, Michigan",26,023,185.0,611.0,45.0,6357.0,41087.0,771.0,949.0,3107.0,689.0,34730.0,2647.0,2219.0,18360.0,2595.0,2062.0,6224.0,623.0
"Jackson County, Michigan",26,075,342.0,1662.0,194.0,20924.0,148782.0,2648.0,2688.0,11133.0,2257.0,127858.0,8440.0,7983.0,67893.0,9630.0,7281.0,23860.0,2771.0
"Mackinac County, Michigan",26,097,146.0,208.0,15.0,1704.0,10692.0,120.0,123.0,979.0,113.0,8988.0,370.0,373.0,4071.0,615.0,808.0,2541.0,210.0
"Antrim County, Michigan",26,009,193.0,384.0,54.0,2748.0,22844.0,261.0,260.0,1335.0,261.0,20096.0,1115.0,901.0,9246.0,1349.0,1625.0,5341.0,519.0
"Houghton County, Michigan",26,061,195.0,458.0,95.0,7087.0,33894.0,350.0,455.0,5147.0,387.0,26807.0,2103.0,1880.0,13603.0,2094.0,1482.0,5088.0,557.0
"Iosco County, Michigan",26,069,175.0,528.0,74.0,4064.0,24810.0,266.0,414.0,2235.0,372.0,20746.0,974.0,880.0,9156.0,1172.0,2125.0,5826.0,613.0
"Lake County, Michigan",26,085,68.0,395.0,43.0,2718.0,11407.0,238.0,242.0,1482.0,250.0,8689.0,446.0,323.0,3757.0,405.0,872.0,2693.0,193.0
"Montmorency County, Michigan",26,119,83.0,177.0,9.0,1511.0,9098.0,144.0,190.0,781.0,127.0,7587.0,222.0,189.0,3251.0,455.0,777.0,2430.0,263.0
"Presque Isle County, Michigan",26,141,99.0,304.0,55.0,1847.0,12628.0,159.0,174.0,945.0,111.0,10781.0,582.0,357.0,4564.0,633.0,1142.0,3156.0,347.0
"Kalamazoo County, Michigan",26,077,664.0,2851.0,307.0,40825.0,252921.0,3364.0,3959.0,26981.0,2699.0,212096.0,15529.0,14130.0,118299.0,16045.0,10240.0,33848.0,4005.0
"Mecosta County, Michigan",26,107,225.0,740.0,33.0,8582.0,40231.0,775.0,736.0,5588.0,485.0,31649.0,1897.0,1709.0,16259.0,2247.0,2055.0,6769.0,713.0
"Marquette County, Michigan",26,103,242.0,945.0,93.0,10259.0,62637.0,604.0,716.0,7031.0,628.0,52378.0,3358.0,3077.0,27675.0,3279.0,3102.0,10758.0,1129.0
"Newaygo County, Michigan",26,123,235.0,944.0,165.0,8425.0,47449.0,973.0,885.0,4361.0,862.0,39024.0,2505.0,2505.0,20088.0,3071.0,2245.0,7834.0,776.0
"Osceola County, Michigan",26,133,125.0,485.0,51.0,4488.0,22858.0,637.0,550.0,2254.0,386.0,18370.0,1155.0,917.0,9222.0,1406.0,1359.0,3889.0,422.0
"Otsego County, Michigan",26,137,224.0,298.0,68.0,3603.0,24021.0,360.0,580.0,1839.0,234.0,20418.0,1493.0,966.0,10537.0,1492.0,1187.0,4279.0,464.0
"Calhoun County, Michigan",26,025,541.0,2400.0,260.0,22073.0,130682.0,2609.0,2870.0,11100.0,2293.0,108609.0,7478.0,6595.0,57865.0,8268.0,5975.0,20042.0,2386.0
"Cheboygan County, Michigan",26,031,157.0,606.0,50.0,3730.0,25125.0,281.0,315.0,1873.0,448.0,21395.0,1064.0,909.0,10107.0,1256.0,1732.0,5689.0,638.0
"Luce County, Michigan",26,095,54.0,61.0,31.0,881.0,5308.0,140.0,40.0,443.0,112.0,4427.0,196.0,266.0,2112.0,263.0,316.0,1114.0,160.0
"Kent County, Michigan",26,081,1731.0,6754.0,929.0,79362.0,632210.0,9482.0,9128.0,44137.0,7201.0,552848.0,43237.0,42109.0,315395.0,44201.0,20746.0,77163.0,9997.0
"Macomb County, Michigan",26,099,3481.0,11175.0,1663.0,97303.0,859987.0,10698.0,10866.0,50419.0,9001.0,762684.0,50650.0,45861.0,429895.0,56793.0,37094.0,125950.0,16441.0
"Bay County, Michigan",26,017,535.0,1745.0,211.0,16577.0,103437.0,1667.0,2033.0,8745.0,1641.0,86860.0,5465.0,3980.0,46097.0,6393.0,5530.0,17465.0,1930.0
"Saginaw County, Michigan",26,145,990.0,2889.0,355.0,32975.0,186434.0,3280.0,3927.0,19040.0,2494.0,153459.0,10995.0,8857.0,79756.0,10990.0,9408.0,29675.0,3778.0
"Shiawassee County, Michigan",26,155,148.0,790.0,104.0,7687.0,67529.0,994.0,688.0,4293.0,670.0,59842.0,3952.0,3339.0,32206.0,4876.0,3339.0,10954.0,1176.0
"Baraga County, Michigan",26,013,59.0,170.0,6.0,1165.0,7122.0,136.0,138.0,557.0,99.0,5957.0,365.0,247.0,2847.0,466.0,441.0,1453.0,138.0
"Charlevoix County, Michigan",26,029,127.0,371.0,53.0,2776.0,25787.0,254.0,245.0,1454.0,272.0,23011.0,1461.0,1121.0,11162.0,1613.0,1702.0,5475.0,477.0
"Eaton County, Michigan",26,045,380.0,1046.0,145.0,11495.0,107288.0,1172.0,1292.0,6118.0,1342.0,95793.0,5615.0,6062.0,51842.0,7190.0,4927.0,18403.0,1754.0
"Delta County, Michigan",26,041,281.0,728.0,112.0,4728.0,35663.0,405.0,431.0,2406.0,365.0,30935.0,1872.0,1651.0,15084.0,2385.0,2252.0,6900.0,791.0
"Gogebic County, Michigan",26,053,108.0,407.0,61.0,2525.0,13931.0,287.0,224.0,1277.0,161.0,11406.0,574.0,435.0,5535.0,657.0,926.0,2838.0,441.0
"Emmet County, Michigan",26,047,158.0,439.0,121.0,3108.0,32577.0,255.0,206.0,1690.0,239.0,29469.0,1876.0,1601.0,15187.0,2324.0,1756.0,6166.0,559.0
"Woodruff County, Arkansas",05,147,54.0,185.0,16.0,1608.0,6421.0,237.0,206.0,843.0,67.0,4813.0,361.0,152.0,2412.0,299.0,365.0,1113.0,111.0
"Cleburne County, Arkansas",05,023,153.0,518.0,103.0,3631.0,24850.0,384.0,290.0,1802.0,381.0,21219.0,1211.0,1186.0,9945.0,1295.0,2017.0,4969.0,596.0
"Cleveland County, Arkansas",05,025,72.0,158.0,1.0,1574.0,8118.0,205.0,200.0,744.0,194.0,6544.0,438.0,290.0,3398.0,520.0,414.0,1366.0,118.0
"Jackson County, Arkansas",05,067,74.0,432.0,37.0,3313.0,14197.0,434.0,416.0,1539.0,381.0,10884.0,706.0,688.0,5489.0,808.0,754.0,2198.0,241.0
"Hempstead County, Arkansas",05,057,177.0,430.0,83.0,5271.0,21723.0,709.0,818.0,2434.0,620.0,16452.0,1284.0,948.0,8332.0,1289.0,916.0,3255.0,428.0
"Sharp County, Arkansas",05,135,172.0,438.0,76.0,3616.0,16706.0,351.0,369.0,1833.0,377.0,13090.0,823.0,535.0,5868.0,1007.0,1193.0,3358.0,306.0
"Stone County, Arkansas",05,137,232.0,318.0,34.0,2767.0,12312.0,267.0,145.0,1359.0,412.0,9545.0,539.0,568.0,4389.0,510.0,970.0,2414.0,155.0
"Washington County, Arkansas",05,143,604.0,2699.0,396.0,37160.0,220629.0,3413.0,4646.0,22858.0,2544.0,183469.0,16082.0,14543.0,105944.0,14985.0,6384.0,23371.0,2160.0
"Baxter County, Arkansas",05,005,320.0,1112.0,146.0,5676.0,40634.0,272.0,540.0,2675.0,611.0,34958.0,2056.0,1495.0,15054.0,2049.0,4008.0,9173.0,1123.0
"Ashley County, Arkansas",05,003,206.0,483.0,83.0,4110.0,20352.0,564.0,314.0,1965.0,495.0,16242.0,1297.0,1135.0,8456.0,919.0,951.0,3133.0,351.0
"Craighead County, Arkansas",05,031,345.0,1229.0,98.0,18667.0,101577.0,2046.0,2456.0,10902.0,1591.0,82910.0,6791.0,5885.0,46156.0,6655.0,3884.0,12335.0,1204.0
"Greene County, Arkansas",05,055,126.0,654.0,84.0,7127.0,43781.0,1055.0,1191.0,3494.0,523.0,36654.0,2615.0,2329.0,20739.0,2979.0,2075.0,5451.0,466.0
"Lafayette County, Arkansas",05,073,155.0,144.0,19.0,1502.0,6759.0,136.0,168.0,785.0,95.0,5257.0,315.0,332.0,2629.0,260.0,425.0,1225.0,71.0
"Perry County, Arkansas",05,105,61.0,202.0,28.0,1729.0,10184.0,315.0,129.0,845.0,149.0,8455.0,612.0,493.0,4451.0,596.0,459.0,1625.0,219.0
"Phillips County, Arkansas",05,107,126.0,516.0,94.0,6252.0,18837.0,699.0,984.0,2930.0,903.0,12585.0,796.0,550.0,6397.0,991.0,759.0,2731.0,361.0
"Poinsett County, Arkansas",05,111,152.0,357.0,29.0,5123.0,23511.0,635.0,701.0,2582.0,667.0,18388.0,1117.0,1040.0,9832.0,1353.0,1076.0,3696.0,274.0
"Sevier County, Arkansas",05,133,73.0,251.0,19.0,3570.0,17029.0,648.0,469.0,1677.0,433.0,13459.0,989.0,1155.0,7144.0,1202.0,564.0,2174.0,231.0
"Yell County, Arkansas",05,149,129.0,355.0,45.0,3475.0,21255.0,368.0,550.0,1717.0,311.0,17780.0,1311.0,1064.0,9494.0,1731.0,920.0,2890.0,370.0
"Calhoun County, Arkansas",05,013,26.0,99.0,29.0,788.0,5061.0,126.0,82.0,321.0,105.0,4273.0,241.0,270.0,2164.0,213.0,366.0,945.0,74.0
"Clark County, Arkansas",05,019,75.0,271.0,41.0,3887.0,19658.0,302.0,433.0,2444.0,321.0,15771.0,1036.0,915.0,8389.0,1150.0,950.0,2903.0,428.0
"Bradley County, Arkansas",05,011,61.0,208.0,36.0,2513.0,10822.0,346.0,278.0,1306.0,278.0,8309.0,747.0,468.0,4271.0,449.0,576.0,1639.0,159.0
"Monroe County, Arkansas",05,095,124.0,262.0,29.0,2015.0,7173.0,222.0,275.0,888.0,215.0,5158.0,280.0,264.0,2584.0,220.0,401.0,1268.0,141.0
"Polk County, Arkansas",05,113,209.0,679.0,104.0,4907.0,20015.0,490.0,393.0,2545.0,487.0,15108.0,1171.0,915.0,6914.0,1211.0,1091.0,3441.0,365.0
"Ouachita County, Arkansas",05,103,178.0,711.0,66.0,5722.0,23711.0,477.0,776.0,2799.0,715.0,17989.0,1389.0,800.0,9318.0,1270.0,1082.0,3618.0,512.0
"Newton County, Arkansas",05,101,64.0,259.0,19.0,1103.0,7781.0,144.0,76.0,467.0,74.0,6678.0,421.0,369.0,3113.0,466.0,404.0,1703.0,202.0
"Little River County, Arkansas",05,081,57.0,307.0,65.0,1913.0,12136.0,187.0,149.0,939.0,209.0,10223.0,632.0,669.0,5334.0,785.0,698.0,2033.0,72.0
"Carroll County, Arkansas",05,015,174.0,653.0,54.0,4141.0,27597.0,415.0,436.0,1963.0,446.0,23456.0,1831.0,1340.0,11489.0,1649.0,1508.0,5159.0,480.0
"Miller County, Arkansas",05,091,275.0,771.0,85.0,8985.0,42370.0,1240.0,1058.0,4554.0,1002.0,33385.0,2162.0,2290.0,18154.0,2454.0,1712.0,6019.0,594.0
"Lake County, California",06,033,314.0,2029.0,123.0,13224.0,63040.0,1350.0,1159.0,7232.0,1017.0,49816.0,3198.0,3047.0,23713.0,3075.0,3572.0,12017.0,1194.0
"Mariposa County, California",06,043,78.0,427.0,9.0,2435.0,17342.0,122.0,212.0,1390.0,197.0,14907.0,722.0,729.0,6787.0,842.0,1474.0,4019.0,334.0
"Yuba County, California",06,115,264.0,962.0,272.0,13298.0,74044.0,1545.0,1832.0,6965.0,1458.0,60746.0,5328.0,5403.0,33587.0,4931.0,2031.0,8654.0,812.0
"Contra Costa County, California",06,013,3300.0,10279.0,1801.0,102543.0,1123857.0,9942.0,9485.0,57381.0,10355.0,1021314.0,79008.0,68110.0,572469.0,80961.0,44406.0,157528.0,18832.0
"Lassen County, California",06,035,75.0,363.0,39.0,2933.0,21230.0,386.0,247.0,1540.0,283.0,18297.0,1068.0,1373.0,8988.0,1473.0,1148.0,3937.0,310.0
"Santa Barbara County, California",06,083,1708.0,3924.0,951.0,63010.0,424510.0,6688.0,5756.0,38813.0,5170.0,361500.0,26235.0,26733.0,201336.0,26375.0,17765.0,54794.0,8262.0
"Sonoma County, California",06,097,1569.0,6714.0,920.0,50714.0,494493.0,4281.0,3761.0,29214.0,4255.0,443779.0,29525.0,27174.0,239469.0,29736.0,21985.0,85875.0,10015.0
"Imperial County, California",06,025,1312.0,3997.0,454.0,41191.0,170447.0,5526.0,5865.0,18956.0,5081.0,129256.0,10935.0,11903.0,69266.0,12002.0,5590.0,17088.0,2472.0
"Mono County, California",06,051,48.0,122.0,0.0,1454.0,14046.0,150.0,157.0,853.0,124.0,12592.0,911.0,472.0,7579.0,863.0,520.0,2170.0,77.0
"Alameda County, California",06,001,6670.0,19503.0,3157.0,170884.0,1617225.0,14094.0,14080.0,100576.0,12804.0,1446341.0,99966.0,102487.0,871595.0,97254.0,52904.0,198809.0,23326.0
"Sacramento County, California",06,067,6295.0,21912.0,3322.0,235982.0,1489573.0,26336.0,27921.0,127125.0,23071.0,1253591.0,95369.0,88822.0,718702.0,95752.0,50417.0,182373.0,22156.0
"Napa County, California",06,055,608.0,1482.0,325.0,11168.0,137164.0,763.0,701.0,6177.0,1112.0,125996.0,8846.0,7816.0,67905.0,10208.0,6586.0,21819.0,2816.0
"Monterey County, California",06,053,1334.0,4445.0,749.0,58699.0,416002.0,8622.0,8340.0,28240.0,6969.0,357303.0,29054.0,30064.0,198554.0,29775.0,13592.0,49365.0,6899.0
"Sierra County, California",06,091,12.0,10.0,0.0,241.0,2903.0,39.0,4.0,168.0,8.0,2662.0,146.0,108.0,1286.0,136.0,263.0,675.0,48.0
"San Diego County, California",06,073,11758.0,39095.0,6160.0,403190.0,3221497.0,38451.0,39625.0,230905.0,37196.0,2818307.0,197260.0,207765.0,1659544.0,196156.0,114115.0,392077.0,51390.0
"Yolo County, California",06,113,654.0,2455.0,257.0,40583.0,207026.0,2820.0,2401.0,29812.0,2184.0,166443.0,13424.0,11964.0,96537.0,12295.0,6266.0,22786.0,3171.0
"Humboldt County, California",06,023,317.0,2403.0,318.0,26957.0,132483.0,1937.0,1880.0,18412.0,1690.0,105526.0,6628.0,6913.0,56186.0,6687.0,5417.0,21490.0,2205.0
"Alpine County, California",06,003,5.0,41.0,2.0,227.0,1146.0,15.0,16.0,132.0,16.0,919.0,71.0,26.0,373.0,95.0,61.0,260.0,33.0
"Mendocino County, California",06,045,325.0,2232.0,204.0,15877.0,85862.0,1247.0,1930.0,8532.0,1407.0,69985.0,5345.0,4077.0,34415.0,4450.0,3888.0,16125.0,1685.0
"Santa Cruz County, California",06,087,709.0,3786.0,494.0,37429.0,262312.0,2851.0,2888.0,23823.0,2878.0,224883.0,14748.0,13919.0,127334.0,15266.0,9681.0,40086.0,3849.0
"Los Angeles County, California",06,037,55673.0,158280.0,26260.0,1589956.0,9947799.0,170428.0,164843.0,851562.0,162910.0,8357843.0,559134.0,566704.0,5063396.0,593072.0,320926.0,1112250.0,142361.0
"Riverside County, California",06,065,10831.0,33791.0,3805.0,345724.0,2347408.0,41462.0,39258.0,176612.0,39965.0,2001684.0,163671.0,147494.0,1118806.0,172404.0,90040.0,274320.0,34949.0
"Santa Clara County, California",06,085,6532.0,17716.0,3919.0,149850.0,1891976.0,11882.0,10462.0,86209.0,13130.0,1742126.0,133783.0,129425.0,1033923.0,129530.0,67198.0,220340.0,27927.0
"Marin County, California",06,041,788.0,3324.0,425.0,19341.0,254105.0,1562.0,1548.0,10181.0,1513.0,234764.0,16917.0,13270.0,118612.0,17415.0,14873.0,47909.0,5768.0
"Siskiyou County, California",06,093,297.0,1348.0,132.0,8374.0,43166.0,992.0,723.0,4428.0,454.0,34792.0,2188.0,1997.0,15978.0,2238.0,2509.0,8843.0,1039.0
"Shasta County, California",06,089,876.0,3342.0,348.0,30186.0,176198.0,2545.0,3506.0,16851.0,2718.0,146012.0,9648.0,8972.0,73255.0,10262.0,9489.0,30795.0,3591.0
"Del Norte County, California",06,015,79.0,656.0,77.0,5458.0,24219.0,611.0,477.0,2892.0,666.0,18761.0,1198.0,1366.0,9244.0,1455.0,1064.0,3908.0,526.0
"San Luis Obispo County, California",06,079,1066.0,3699.0,406.0,35303.0,265343.0,2082.0,1706.0,24412.0,1932.0,230040.0,15419.0,13565.0,119793.0,14894.0,13985.0,46767.0,5617.0
"Glenn County, California",06,021,213.0,622.0,60.0,5152.0,27448.0,532.0,566.0,2585.0,574.0,22296.0,2140.0,1635.0,11555.0,1854.0,1134.0,3568.0,410.0
"Butte County, California",06,007,1102.0,3956.0,563.0,44410.0,221237.0,3093.0,3442.0,29523.0,2731.0,176827.0,12033.0,11632.0,93136.0,11667.0,10362.0,33626.0,4371.0
"Plumas County, California",06,063,134.0,436.0,43.0,2146.0,18385.0,54.0,168.0,1210.0,101.0,16239.0,1113.0,761.0,7142.0,858.0,1250.0,4744.0,371.0
"Kern County, California",06,029,3136.0,13059.0,1339.0,187232.0,851826.0,27772.0,27423.0,92601.0,21902.0,664594.0,60235.0,56082.0,373775.0,60291.0,22620.0,83354.0,8237.0
"Orange County, California",06,059,13321.0,36157.0,6446.0,359503.0,3127012.0,36760.0,33683.0,196769.0,36367.0,2767509.0,196001.0,188029.0,1619208.0,209880.0,116161.0,387589.0,50641.0
"Calaveras County, California",06,009,102.0,964.0,22.0,5242.0,44743.0,619.0,397.0,2779.0,359.0,39501.0,2171.0,1893.0,17868.0,2119.0,3394.0,10904.0,1152.0
"Sutter County, California",06,101,573.0,1169.0,172.0,15181.0,94745.0,2166.0,1829.0,7899.0,1373.0,79564.0,6682.0,5812.0,42602.0,6877.0,3949.0,12226.0,1416.0
"San Mateo County, California",06,081,2683.0,6554.0,1428.0,53387.0,759786.0,4390.0,3919.0,29829.0,4584.0,706399.0,50322.0,49664.0,407610.0,46295.0,30739.0,106432.0,15337.0
"Tuolumne County, California",06,109,337.0,1272.0,158.0,6715.0,50556.0,385.0,631.0,3619.0,313.0,43841.0,2432.0,2543.0,20065.0,2556.0,3315.0,11437.0,1493.0
"San Joaquin County, California",06,077,2256.0,9987.0,1157.0,114294.0,717960.0,15500.0,14572.0,57600.0,13222.0,603666.0,52064.0,48605.0,337226.0,54188.0,22547.0,80186.0,8850.0
"Amador County, California",06,005,107.0,701.0,78.0,3323.0,34161.0,269.0,224.0,1652.0,292.0,30838.0,1564.0,1667.0,14115.0,1621.0,2389.0,8355.0,1127.0
"Phillips County, Colorado",08,095,14.0,73.0,2.0,282.0,4239.0,14.0,23.0,143.0,13.0,3957.0,352.0,298.0,1966.0,409.0,274.0,595.0,63.0
"Archuleta County, Colorado",08,007,15.0,289.0,16.0,1370.0,12805.0,190.0,100.0,675.0,85.0,11435.0,648.0,565.0,5362.0,619.0,682.0,3386.0,173.0
"Denver County, Colorado",08,031,2332.0,9824.0,1180.0,93728.0,681161.0,9758.0,9291.0,52789.0,8554.0,587433.0,37693.0,41904.0,379200.0,31233.0,18455.0,70270.0,8678.0
"Kiowa County, Colorado",08,061,22.0,5.0,6.0,160.0,1422.0,13.0,35.0,59.0,20.0,1262.0,98.0,138.0,601.0,110.0,85.0,204.0,26.0
"Huerfano County, Colorado",08,055,54.0,224.0,23.0,1024.0,6418.0,87.0,96.0,461.0,79.0,5394.0,420.0,135.0,2414.0,228.0,533.0,1472.0,192.0
"Baca County, Colorado",08,009,49.0,105.0,16.0,661.0,3443.0,87.0,57.0,290.0,57.0,2782.0,156.0,185.0,1289.0,173.0,267.0,602.0,110.0
"Chaffee County, Colorado",08,015,52.0,377.0,101.0,1807.0,17906.0,106.0,96.0,1002.0,73.0,16099.0,780.0,658.0,7546.0,1256.0,1136.0,4290.0,433.0
"Gilpin County, Colorado",08,047,0.0,36.0,0.0,238.0,5771.0,5.0,36.0,147.0,14.0,5533.0,233.0,221.0,3095.0,350.0,62.0,1480.0,92.0
"Kit Carson County, Colorado",08,063,52.0,28.0,30.0,705.0,7003.0,148.0,27.0,336.0,84.0,6298.0,561.0,463.0,3035.0,486.0,356.0,1220.0,177.0
"Garfield County, Colorado",08,045,216.0,535.0,61.0,4662.0,57594.0,676.0,447.0,2487.0,240.0,52932.0,4829.0,4528.0,29732.0,4138.0,1590.0,7602.0,513.0
"Gunnison County, Colorado",08,051,64.0,181.0,35.0,2084.0,15761.0,11.0,93.0,1641.0,59.0,13677.0,911.0,836.0,8079.0,996.0,391.0,2353.0,111.0
"Jefferson County, Colorado",08,059,1480.0,5092.0,776.0,41438.0,561206.0,3217.0,3275.0,24256.0,3342.0,519768.0,35002.0,32413.0,295944.0,37025.0,22449.0,88124.0,8811.0
"Mineral County, Colorado",08,079,0.0,9.0,0.0,99.0,823.0,5.0,9.0,76.0,0.0,724.0,29.0,10.0,289.0,25.0,91.0,257.0,23.0
"Ouray County, Colorado",08,091,12.0,119.0,0.0,466.0,4709.0,26.0,21.0,277.0,11.0,4243.0,201.0,163.0,1897.0,255.0,239.0,1353.0,135.0
"Rio Blanco County, Colorado",08,103,23.0,36.0,4.0,701.0,6114.0,125.0,15.0,367.0,131.0,5413.0,560.0,532.0,2829.0,289.0,233.0,904.0,66.0
"Sedgwick County, Colorado",08,115,23.0,52.0,14.0,390.0,2290.0,44.0,61.0,184.0,12.0,1900.0,114.0,117.0,868.0,163.0,179.0,357.0,102.0
"Conejos County, Colorado",08,021,74.0,148.0,60.0,1813.0,8102.0,213.0,142.0,920.0,256.0,6289.0,545.0,517.0,2914.0,535.0,421.0,1290.0,67.0
"Costilla County, Colorado",08,023,52.0,231.0,6.0,1111.0,3687.0,127.0,82.0,539.0,74.0,2576.0,146.0,66.0,1131.0,176.0,273.0,725.0,59.0
"Adams County, Colorado",08,001,1269.0,4135.0,310.0,56588.0,492541.0,6817.0,7078.0,29953.0,7026.0,435953.0,39055.0,36529.0,257592.0,37370.0,12033.0,48959.0,4415.0
"Eagle County, Colorado",08,037,59.0,383.0,3.0,3793.0,54012.0,370.0,275.0,2362.0,341.0,50219.0,3588.0,3544.0,31251.0,3730.0,1310.0,6592.0,204.0
"Lake County, Colorado",08,065,0.0,196.0,0.0,1232.0,7453.0,71.0,90.0,787.0,88.0,6221.0,396.0,277.0,3984.0,345.0,90.0,1023.0,106.0
"Moffat County, Colorado",08,081,115.0,310.0,10.0,1796.0,12930.0,140.0,234.0,875.0,112.0,11134.0,1069.0,831.0,5848.0,995.0,389.0,1912.0,90.0
"Pitkin County, Colorado",08,097,104.0,224.0,0.0,1289.0,17781.0,68.0,64.0,829.0,0.0,16492.0,1035.0,801.0,9546.0,816.0,631.0,3427.0,236.0
"Cheyenne County, Colorado",08,017,8.0,33.0,14.0,228.0,1989.0,14.0,29.0,113.0,17.0,1761.0,198.0,215.0,868.0,194.0,87.0,158.0,41.0
"Crowley County, Colorado",08,025,55.0,120.0,9.0,1261.0,4446.0,92.0,72.0,850.0,63.0,3185.0,149.0,133.0,1940.0,208.0,144.0,560.0,51.0
"Dolores County, Colorado",08,033,15.0,29.0,21.0,250.0,1841.0,24.0,27.0,117.0,17.0,1591.0,167.0,66.0,766.0,55.0,124.0,345.0,68.0
