NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Roosevelt County, New Mexico",35,041,104.0,268.0,35.0,4601.0,17948.0,447.0,798.0,2604.0,345.0,13347.0,1007.0,1056.0,7364.0,899.0,664.0,2099.0,258.0
"Bronx County, New York",36,005,13085.0,40161.0,4424.0,407528.0,1402787.0,49146.0,48739.0,205900.0,46073.0,995259.0,66382.0,72716.0,608012.0,69379.0,38411.0,125641.0,14718.0
"Fulton County, New York",36,035,188.0,785.0,111.0,8119.0,52533.0,811.0,726.0,4746.0,752.0,44414.0,2691.0,2386.0,23526.0,3068.0,2459.0,9056.0,1228.0
"Rensselaer County, New York",36,083,357.0,1758.0,201.0,18459.0,153674.0,1975.0,2121.0,10260.0,1787.0,135215.0,8224.0,7973.0,76460.0,9099.0,6389.0,24436.0,2634.0
"Dutchess County, New York",36,027,1035.0,2831.0,385.0,25335.0,277367.0,1974.0,2257.0,14523.0,2330.0,252032.0,16066.0,14242.0,140298.0,18842.0,13123.0,44017.0,5444.0
"Herkimer County, New York",36,043,299.0,1106.0,116.0,8951.0,61401.0,909.0,1065.0,4637.0,819.0,52450.0,3200.0,2779.0,27713.0,4038.0,3067.0,10182.0,1471.0
"St. Lawrence County, New York",36,089,357.0,1748.0,188.0,17248.0,97507.0,1751.0,2138.0,9507.0,1559.0,80259.0,5863.0,4674.0,42276.0,5628.0,4536.0,15514.0,1768.0
"Warren County, New York",36,113,159.0,939.0,218.0,6656.0,63421.0,609.0,639.0,3654.0,438.0,56765.0,3053.0,2860.0,29936.0,3875.0,3521.0,12124.0,1396.0
"Monroe County, New York",36,055,2547.0,10131.0,1449.0,106115.0,720016.0,12027.0,11568.0,58045.0,10348.0,613901.0,39373.0,38021.0,340852.0,43841.0,30755.0,106709.0,14350.0
"Ulster County, New York",36,111,914.0,3131.0,467.0,23840.0,171441.0,1852.0,1763.0,13953.0,1760.0,147601.0,8690.0,7646.0,80840.0,9694.0,8434.0,28996.0,3301.0
"Livingston County, New York",36,051,174.0,656.0,130.0,7850.0,57624.0,489.0,713.0,5066.0,622.0,49774.0,3168.0,2585.0,26403.0,3650.0,2914.0,10019.0,1035.0
"Greene County, New York",36,039,319.0,746.0,237.0,5921.0,44465.0,301.0,451.0,3449.0,418.0,38544.0,2004.0,1930.0,19935.0,2628.0,2366.0,8684.0,997.0
"Allegany County, New York",36,003,150.0,797.0,101.0,7146.0,41985.0,737.0,892.0,3644.0,825.0,34839.0,2367.0,1995.0,17733.0,2517.0,2205.0,7147.0,875.0
"Cattaraugus County, New York",36,009,514.0,1274.0,139.0,12411.0,75149.0,1487.0,1355.0,6680.0,962.0,62738.0,4103.0,3969.0,32254.0,5049.0,3704.0,12246.0,1413.0
"Schenectady County, New York",36,093,652.0,1595.0,196.0,17200.0,150814.0,1444.0,2105.0,9429.0,1779.0,133614.0,9239.0,8536.0,73936.0,9928.0,6351.0,21988.0,3636.0
"Yates County, New York",36,123,175.0,356.0,44.0,2719.0,23813.0,295.0,253.0,1312.0,284.0,21094.0,1522.0,1498.0,10423.0,1675.0,1238.0,4296.0,442.0
"Haywood County, North Carolina",37,087,415.0,1062.0,77.0,8304.0,59656.0,701.0,1026.0,4248.0,775.0,51352.0,2564.0,2342.0,25927.0,3294.0,4059.0,11903.0,1263.0
"Alleghany County, North Carolina",37,005,127.0,305.0,68.0,2673.0,10850.0,200.0,283.0,1370.0,320.0,8177.0,319.0,272.0,3861.0,549.0,738.0,2220.0,218.0
"Cleveland County, North Carolina",37,045,544.0,2854.0,281.0,19262.0,95262.0,2220.0,2033.0,9723.0,1607.0,76000.0,4774.0,4466.0,40581.0,5903.0,4621.0,14238.0,1417.0
"Granville County, North Carolina",37,077,363.0,1280.0,125.0,7781.0,56091.0,657.0,621.0,3650.0,1085.0,48310.0,3253.0,2897.0,27593.0,3599.0,2432.0,7950.0,586.0
"Hoke County, North Carolina",37,093,150.0,857.0,41.0,10823.0,51554.0,1141.0,1623.0,5691.0,1320.0,40731.0,3639.0,3557.0,24252.0,3283.0,877.0,4663.0,460.0
